N,Sq Length,input clx,GRms,GErrorRms,G clx,G Error clx,G clx,G Error clx,G Area,Gerror Area,input cly,Rms,Error Rms,clx,Error clx,cly,Error cly,Area,Error Area,Skewness,Error Sk,Kurtosis,Error Ku
600,8,0.26,1,0,1,0,1,0,1,0,0.21,0.0040011,0,0.19838,0,0.25842,0,64.078,0,-1.4485,0,5.4923,0
600,8,0.36,1,0,1,0,1,0,1,0,0.06,0.01402,0,0.062405,0,0.35072,0,67.792,0,-0.95497,0,5.5709,0
600,8,0.21,1,0,1,0,1,0,1,0,0.31,0.033945,0,0.34083,0,0.22224,0,68.023,0,-0.68958,0,3.4803,0
600,8,0.16,1,0,1,0,1,0,1,0,0.26,0.054004,0,0.26076,0,0.16016,0,79.551,0,-0.30121,0,1.4999,0
600,8,0.26,1,0,1,0,1,0,1,0,0.11,0.014016,0,0.11142,0,0.26377,0,65.801,0,0.80208,0,5.5196,0
600,8,0.31,1,0,1,0,1,0,1,0,0.26,0.0039919,0,0.22956,0,0.27464,0,64.058,0,1.9048,0,7.532,0
600,8,0.31,1,0,1,0,1,0,1,0,0.26,0.034079,0,0.24844,0,0.31889,0,67.908,0,2.1462,0,7.4709,0
600,8,0.11,1,0,1,0,1,0,1,0,0.06,0.054055,0,0.062669,0,0.11316,0,109.67,0,1.3041,0,5.5302,0
600,8,0.26,1,0,1,0,1,0,1,0,0.16,0.023964,0,0.16437,0,0.26613,0,67.267,0,-0.93411,0,5.4963,0
600,8,0.06,1,0,1,0,1,0,1,0,0.21,0.023983,0,0.21192,0,0.067202,0,74.125,0,0.28917,0,5.5332,0
600,8,0.36,1,0,1,0,1,0,1,0,0.16,0.044115,0,0.15532,0,0.3653,0,72.984,0,1.1599,0,7.3891,0
600,8,0.16,1,0,1,0,1,0,1,0,0.11,0.053862,0,0.092249,0,0.13115,0,91.613,0,-1.9577,0,5.5346,0
600,8,0.31,1,0,1,0,1,0,1,0,0.21,0.05396,0,0.21921,0,0.29976,0,73.771,0,1.0501,0,5.4467,0
600,8,0.31,1,0,1,0,1,0,1,0,0.31,0.034006,0,0.36925,0,0.32861,0,66.467,0,0.55315,0,3.5061,0
600,8,0.11,1,0,1,0,1,0,1,0,0.06,0.014006,0,0.064058,0,0.1147,0,68.822,0,-0.46498,0,3.4887,0
600,8,0.31,1,0,1,0,1,0,1,0,0.06,0.0039945,0,0.060424,0,0.29989,0,64.373,0,1.5518,0,5.5104,0
600,8,0.21,1,0,1,0,1,0,1,0,0.11,0.0039839,0,0.1095,0,0.21334,0,64.183,0,-1.0803,0,7.4965,0
600,8,0.21,1,0,1,0,1,0,1,0,0.21,0.014017,0,0.18508,0,0.17543,0,65.533,0,-2.3445,0,7.4713,0
600,8,0.21,1,0,1,0,1,0,1,0,0.21,0.053978,0,0.21802,0,0.21392,0,76.498,0,0.37737,0,7.4957,0
600,8,0.26,1,0,1,0,1,0,1,0,0.11,0.053899,0,0.10508,0,0.23019,0,85.141,0,1.8,0,5.5025,0
600,8,0.26,1,0,1,0,1,0,1,0,0.36,0.033993,0,0.3572,0,0.29058,0,67.136,0,-0.097077,0,7.495,0
600,8,0.21,1,0,1,0,1,0,1,0,0.26,0.0040007,0,0.26324,0,0.24508,0,64.07,0,0.070248,0,5.552,0
600,8,0.21,1,0,1,0,1,0,1,0,0.26,0.043922,0,0.27097,0,0.21762,0,71.871,0,-0.052076,0,1.5035,0
600,8,0.36,1,0,1,0,1,0,1,0,0.36,0.033986,0,0.39794,0,0.33108,0,65.972,0,-1.4475,0,5.4843,0
600,8,0.21,1,0,1,0,1,0,1,0,0.31,0.023986,0,0.30473,0,0.22147,0,66.377,0,-0.052663,0,1.5014,0
600,8,0.26,1,0,1,0,1,0,1,0,0.21,0.014016,0,0.22289,0,0.27579,0,64.818,0,1.1683,0,7.5832,0
600,8,0.06,1,0,1,0,1,0,1,0,0.21,0.033987,0,0.19693,0,0.062171,0,82.954,0,-1.4513,0,5.4994,0
600,8,0.06,1,0,1,0,1,0,1,0,0.36,0.014014,0,0.38167,0,0.062432,0,67.662,0,0.91453,0,7.4984,0
600,8,0.11,1,0,1,0,1,0,1,0,0.26,0.034042,0,0.24594,0,0.10452,0,73.935,0,-1.8456,0,7.4614,0
600,8,0.26,1,0,1,0,1,0,1,0,0.31,0.023996,0,0.32878,0,0.2802,0,65.68,0,-1.1938,0,5.4569,0
600,8,0.11,1,0,1,0,1,0,1,0,0.36,0.043991,0,0.3481,0,0.10229,0,78.057,0,1.6455,0,7.4625,0
600,8,0.36,1,0,1,0,1,0,1,0,0.31,0.04401,0,0.3028,0,0.35608,0,68.268,0,-0.59295,0,7.4572,0
600,8,0.16,1,0,1,0,1,0,1,0,0.16,0.034044,0,0.15087,0,0.1401,0,73.602,0,2.153,0,7.5142,0
600,8,0.26,1,0,1,0,1,0,1,0,0.31,0.034059,0,0.2798,0,0.24651,0,67.508,0,1.5541,0,5.5274,0
600,8,0.06,1,0,1,0,1,0,1,0,0.21,0.033947,0,0.15996,0,0.047043,0,85.081,0,-2.3567,0,7.5352,0
600,8,0.11,1,0,1,0,1,0,1,0,0.11,0.054035,0,0.10398,0,0.10405,0,97.759,0,-0.2957,0,1.4967,0
600,8,0.21,1,0,1,0,1,0,1,0,0.21,0.0039974,0,0.20393,0,0.22292,0,64.092,0,-1.7005,0,5.5018,0
600,8,0.16,1,0,1,0,1,0,1,0,0.31,0.034061,0,0.32945,0,0.17364,0,69.702,0,0.30876,0,3.4995,0
600,8,0.26,1,0,1,0,1,0,1,0,0.26,0.044047,0,0.28354,0,0.26746,0,69.848,0,0.3126,0,5.5611,0
