N,Sq Length,input clx,GRms,GErrorRms,G clx,G Error clx,G clx,G Error clx,G Area,Gerror Area,input cly,Rms,Error Rms,clx,Error clx,cly,Error cly,Area,Error Area,Skewness,Error Sk,Kurtosis,Error Ku
600,8,0.29562,1,0,1,0,1,0,1,0,0.23061,0.072984,0,0.22668,0,0.31682,0,79.254,0,0.60996,0,7.8921,0
600,8,0.3289,1,0,1,0,1,0,1,0,0.065908,0.068125,0,0.066983,0,0.31122,0,111.14,0,0.85924,0,3.0583,0
600,8,0.32378,1,0,1,0,1,0,1,0,0.26566,0.069047,0,0.3181,0,0.31626,0,76.281,0,0.24497,0,1.5095,0
600,8,0.24229,1,0,1,0,1,0,1,0,0.23302,0.015182,0,0.26381,0,0.25916,0,64.934,0,-1.4182,0,9.0382,0
600,8,0.25629,1,0,1,0,1,0,1,0,0.28602,0.025229,0,0.28739,0,0.26755,0,65.944,0,1.4506,0,6.7661,0
600,8,0.24661,1,0,1,0,1,0,1,0,0.34132,0.063592,0,0.31291,0,0.23786,0,75.413,0,-0.62043,0,2.3166,0
600,8,0.1213,1,0,1,0,1,0,1,0,0.070872,0.024133,0,0.074503,0,0.12454,0,74.755,0,0.72446,0,5.8764,0
600,8,0.20133,1,0,1,0,1,0,1,0,0.32447,0.046218,0,0.33999,0,0.21295,0,71.439,0,-0.18667,0,2.0486,0
600,8,0.060333,1,0,1,0,1,0,1,0,0.30605,0.034689,0,0.29784,0,0.061508,0,82.844,0,-1.0013,0,5.1189,0
600,8,0.10643,1,0,1,0,1,0,1,0,0.083879,0.01905,0,0.081825,0,0.10812,0,70.909,0,1.3167,0,4.5782,0
600,8,0.16571,1,0,1,0,1,0,1,0,0.30607,0.053856,0,0.3116,0,0.174,0,75.848,0,1.3853,0,6.3204,0
600,8,0.28459,1,0,1,0,1,0,1,0,0.090604,0.070847,0,0.094097,0,0.28674,0,101.74,0,0.61372,0,2.5833,0
600,8,0.34039,1,0,1,0,1,0,1,0,0.34752,0.0438,0,0.33523,0,0.34831,0,67.713,0,0.089275,0,5.3384,0
600,8,0.10312,1,0,1,0,1,0,1,0,0.29456,0.0052424,0,0.29314,0,0.10676,0,64.276,0,-0.90593,0,4.5977,0
600,8,0.18882,1,0,1,0,1,0,1,0,0.18327,0.051834,0,0.1873,0,0.207,0,77.45,0,1.1279,0,4.3717,0
600,8,0.34264,1,0,1,0,1,0,1,0,0.16407,0.017155,0,0.18143,0,0.34586,0,65.341,0,-0.77152,0,3.6766,0
600,8,0.16483,1,0,1,0,1,0,1,0,0.33066,0.042812,0,0.32712,0,0.1634,0,72.983,0,0.72968,0,2.2522,0
600,8,0.34638,1,0,1,0,1,0,1,0,0.093401,0.050173,0,0.087894,0,0.34976,0,84.702,0,-1.8534,0,7.2756,0
600,8,0.26878,1,0,1,0,1,0,1,0,0.31721,0.064382,0,0.32756,0,0.25215,0,74.687,0,1.1319,0,8.3219,0
600,8,0.2361,1,0,1,0,1,0,1,0,0.06737,0.010863,0,0.070965,0,0.24244,0,66.086,0,1.5398,0,7.908,0
600,8,0.068613,1,0,1,0,1,0,1,0,0.10057,0.05158,0,0.10101,0,0.069691,0,105.86,0,0.89457,0,2.9128,0
600,8,0.13276,1,0,1,0,1,0,1,0,0.086539,0.020641,0,0.088331,0,0.14228,0,70.646,0,-0.72531,0,3.4113,0
600,8,0.25387,1,0,1,0,1,0,1,0,0.17951,0.05852,0,0.1882,0,0.25814,0,78.204,0,-1.1676,0,5.9877,0
600,8,0.213,1,0,1,0,1,0,1,0,0.35245,0.0041683,0,0.34578,0,0.20958,0,64.066,0,1.0826,0,9.1607,0
